source_category,nsi_id,display_name,tags_brand,brand_wikidata,location_include,location_exclude,match_names_count,match_input_name,match_slug,match_status,matched_image_svg,matched_image_png
supermarket,kflsupermarkets-c254c9,KFL Supermarkets,KFL Supermarkets,Q113462406,au,,0,KFL Supermarkets,kfl-supermarkets,no,,
convenience,kimsconveniencestore-944bfe,Kim's Convenience Store,Kim's Convenience Store,Q134021740,us-tx.geojson,,1,Kim's Convenience Store,kims-convenience-store,no,,
supermarket,kingsoopers-dde59d,King Soopers,King Soopers,Q6412065,us,,0,King Soopers,king-soopers,exact,king-soopers.svg,
supermarket,kingsoopersmarketplace-dde59d,King Soopers Marketplace,King Soopers Marketplace,Q6412065,us,,0,King Soopers Marketplace,king-soopers-marketplace,no,,
supermarket,kings-dde59d,Kings,Kings,Q6412914,us,,0,Kings,kings,no,,
supermarket,kipa-5b5772,Kipa,Kipa,Q218006,tr,,0,Kipa,kipa,no,,
convenience,kiranapasal-70535b,Kirana Pasal,Kirana Pasal,,np,,0,Kirana Pasal,kirana-pasal,no,,
supermarket,kiwi-ed9dd5,Kiwi,Kiwi,Q1613639,no,,1,Kiwi,kiwi,exact,,kiwi.png
convenience,kksupermart-3e5671,KK Super Mart,KK Super Mart,Q95721993,my,,1,KK Super Mart,kk-super-mart,no,,
supermarket,klas-4ccde8,Klas,Klas,Q116718756,sk,,1,Klas,klas,no,,
supermarket,konsum-c00dcd,Konsum (Dresden),Konsum Dresden,Q1618877,konsum-dresden.geojson,,0,Konsum Dresden,konsum-dresden,exact,,konsum-dresden.png
supermarket,konsumleipzig-1d068e,Konsum Leipzig,Konsum Leipzig,Q1468147,konsum-leipzig.geojson,,0,Konsum Leipzig,konsum-leipzig,no,,
supermarket,konzum-0956c9,Konzum (Balkans),Konzum,Q518563,ba|hr|rs,,0,Konzum,konzum,exact,konzum.svg,
supermarket,konzum-261d20,Konzum (Česko),Konzum,,cz|sk,,0,Konzum,konzum,exact,konzum.svg,
convenience,konzum-442b6e,Konzum (Balkans),Konzum,Q518563,ba|hr|rs,,0,Konzum,konzum,exact,konzum.svg,
convenience,konzum-65ae8a,Konzum (Česko),Konzum,,cz|sk,,0,Konzum,konzum,exact,konzum.svg,
convenience,koops-64a6c9,Koops,Koops,,lt,,0,Koops,koops,no,,
supermarket,korzinka-c068bf,Korzinka,Korzinka,Q110120894,uz,,0,Korzinka,korzinka,no,,
supermarket,kroger-dde59d,Kroger,Kroger,Q153417,us,,2,Kroger,kroger,exact,,kroger.png
supermarket,krogermarketplace-dde59d,Kroger Marketplace,Kroger,Q153417,us,,0,Kroger,kroger,exact,,kroger.png
convenience,kropka-95f41b,Kropka,Kropka,,pl,,0,Kropka,kropka,no,,
supermarket,kronan-0c58a2,Krónan,Krónan,Q16419327,is,,0,Krónan,kronan,exact,,kronan.png
supermarket,ktasuperstores-34b4ac,KTA Super Stores,KTA Super Stores,Q44361030,us-hi,,0,KTA Super Stores,kta-super-stores,no,,
convenience,kumandgo-f1e40b,Kum & Go,Kum & Go,Q6443340,us,,0,Kum & Go,kum-go,no,,
convenience,kuups-dd9aae,Kuups,Kuups,Q113464694,es,,1,Kuups,kuups,no,,
supermarket,kvickly-072052,Kvickly,Kvickly,Q7061148,dk,,0,Kvickly,kvickly,no,,
convenience,kwikshop-f1e40b,Kwik Shop,Kwik Shop,Q6450417,us,,0,Kwik Shop,kwik-shop,no,,
convenience,kwikstar-e82e8e,Kwik Star,Kwik Star,Q123269534,us-ia.geojson|us-il.geojson|us-sd.geojson,,0,Kwik Star,kwik-star,no,,
convenience,kwiktrip-345f5f,Kwik Trip,Kwik Trip,Q6450420,us-mi.geojson|us-mn.geojson|us-wi.geojson,,0,Kwik Trip,kwik-trip,no,,
convenience,kwikspar-c7b713,KwikSpar,KwikSpar,Q610492,za,,0,KwikSpar,kwikspar,no,,
supermarket,leauvive-c16b1c,L'Eau Vive,L'Eau Vive,Q89200423,fr,,0,L'Eau Vive,leau-vive,exact,,leau-vive.png
supermarket,laanonima-0d2b84,La Anónima,La Anónima,Q6135985,ar,,0,La Anónima,la-anonima,exact,la-anonima.svg,
supermarket,lacomer-9b2dfb,La Comer,La Comer,Q26765126,mx,,0,La Comer,la-comer,no,,
supermarket,ladespensa-0513f1,La Despensa,La Despensa,,es,,0,La Despensa,la-despensa,no,,
convenience,ladoipasi-597303,La Doi Pași,La Doi Pași,Q18544132,ro,,0,La Doi Pași,la-doi-pasi,no,,
supermarket,lamichoacanameatmarket-dde59d,La Michoacana Meat Market,La Michoacana Meat Market,Q6463872,us,,0,La Michoacana Meat Market,la-michoacana-meat-market,no,,
supermarket,laplazadedia-0513f1,La Plaza de DIA,La Plaza de DIA,Q58904673,es,,0,La Plaza de DIA,la-plaza-de-dia,no,,
