brand_name,match_status,matched_image_svg,matched_image_png,price_count,top_100_by_price
Interspar,exact,,interspar.png,74,
Intersport,exact,intersport.svg,,7,
Iperal,exact,,iperal.png,3,
itsu,exact,,itsu.png,1,
Jour de Fête,no,,,16,
JouéClub,exact,,joueclub.png,8,
Jumbo,exact,jumbo.svg,,67,
JYSK,exact,jysk.svg,,2,
K-Citymarket,exact,,k-citymarket.png,32,
K-Market,exact,k-market.svg,,43,
K-Supermarket,exact,,k-supermarket.png,75,
Karstadt,no,,,1,
Kaufland,exact,kaufland.svg,kaufland.png,790,yes
Key Food,exact,key-food.svg,,7,
KiK,exact,kik.svg,,1,
Kindly!,no,,,1,
King Jouet,no,,,55,
Kinsarvik Naturkost,no,,,6,
kitea,exact,,kitea.png,1,
Kitea,exact,,kitea.png,1,
Kiwi,exact,,kiwi.png,3211,yes
Kmart,exact,,kmart.png,1,
Konsum Dresden,exact,,konsum-dresden.png,2,
Konzum,exact,konzum.svg,,43,
Krambúð,no,,,4,
Kroger,exact,,kroger.png,1,
Kruidvat,exact,kruidvat.svg,kruidvat.png,10,
Krónan,exact,,kronan.png,1,
Kult,exact,,kult.png,1,
L'Eau Vive,exact,,leau-vive.png,532,yes
L'Occitane,exact,,loccitane.png,1,
La Foir'Fouille,exact,,la-foirfouille.png,11,
La Grande Récré,exact,,la-grande-recre.png,37,
La Poste,no,,,10,
La Vie Claire,exact,,la-vie-claire.png,882,yes
Lafayette,exact,,lafayette.png,83,
Le Petit Casino,exact,le-petit-casino.svg,le-petit-casino.png,256,yes
Leader Price,no,,,15,
Lenovo,no,,,1,
Leroy Merlin,exact,leroy-merlin.svg,,52,
Les Comptoirs De La Bio,exact,,les-comptoirs-de-la-bio.png,21,
Lidl,exact,lidl.svg,,3632,yes
Lindt,exact,,lindt.png,1,
Linella,no,,,1,
Londis,exact,,londis.png,2,
London Drugs,exact,,london-drugs.png,89,
Lotus's,exact,,lotuss.png,12,
Lowe's,exact,lowes.svg,,3,
LPG BioMarkt,exact,,lpg-biomarkt.png,2,
Lucky,exact,lucky.svg,,252,yes
Lulu Hypermarket,exact,,lulu-hypermarket.png,1,
Lupa,exact,,lupa.png,23,
M&S Simply Food,exact,,m-s-simply-food.png,8,
MAC Cosmetics,exact,,mac-cosmetics.png,3,
Makro,exact,,makro.png,3,
Mangeons Frais,exact,,mangeons-frais.png,9,
Manor,exact,,manor.png,5,
Marché Adonis,no,,,8,
Mariano's Fresh Market,exact,,marianos-fresh-market.png,1,
Marie Blachère,exact,,marie-blachere.png,1,
Marjane,no,,,15,
Markant,exact,markant.svg,,19,
Market Basket,exact,market-basket.svg,,10,
Marks & Spencer,exact,marks-spencer.svg,,8,
Markt-Bäckerei,no,,,1,
Marktkauf,exact,marktkauf.svg,,7,
Marshalls,exact,,marshalls.png,5,
Masymas,exact,masymas.svg,,1,
Match,exact,,match.png,275,yes
Matkroken,no,,,36,
Maxi ICA Stormarknad,exact,,maxi-ica-stormarknad.png,4,
Maxi Zoo,no,,,2,
Maxima,exact,maxima.svg,,5,
Maxima X,exact,maxima-x.svg,,167,yes
Maxima XX,exact,,maxima-xx.png,22,
Maxima XXX,exact,,maxima-xxx.png,75,
MD,exact,,md.png,2,
MediaMarkt,exact,,mediamarkt.png,1,
Mega Image,exact,,mega-image.png,9,
Meijer,exact,meijer.svg,,2,
Meny,exact,,meny.png,132,
Mercadona,exact,mercadona.svg,mercadona.png,122,
Mercator,exact,,mercator.png,2,
